year,category,name_of_work,staff_members
1978,WRITING (Screenplay Based on Material from Another Medium),Midnight Express,Oliver Stone
1978,WRITING (Screenplay Written Directly for the Screen),Coming Home,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
1979,DIRECTING,Kramer vs. Kramer,Robert Benton
1979,DOCUMENTARY (Feature),Best Boy,"Ira Wohl, Producer"
1979,DOCUMENTARY (Short Subject),Paul Robeson: Tribute to an Artist,"Saul J. Turell, Producer"
1979,DOCUMENTARY (Short Subject),The Tin Drum,Federal Republic of Germany
1979,MUSIC (Original Score),A Little Romance,Georges Delerue
1979,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),All That Jazz,Adaptation Score by Ralph Burns
1979,MUSIC (Original Song),"""It Goes Like It Goes"" from Norma Rae",Music by David Shire; Lyric by Norman Gimbel
1979,BEST PICTURE,Kramer vs. Kramer,"Stanley R. Jaffe, Producer"
1979,SHORT FILM (Animated),Every Child,"Derek Lamb, Producer"
1979,SHORT FILM (Live Action),Board and Care,"Sarah Pillsbury and Ron Ellis, Producers"
1979,WRITING (Screenplay Based on Material from Another Medium),Kramer vs. Kramer,Robert Benton
1979,WRITING (Screenplay Written Directly for the Screen),Breaking Away,Steve Tesich
1980,DIRECTING,Ordinary People,Robert Redford
1980,DOCUMENTARY (Feature),From Mao to Mozart: Isaac Stern in China,"Murray Lerner, Producer"
1980,DOCUMENTARY (Short Subject),Karl Hess: Toward Liberty,"Roland Hallé and Peter W. Ladue, Producers"
1980,DOCUMENTARY (Short Subject),Moscow Does Not Believe in Tears,Union of Soviet Socialist Republics
1980,MUSIC (Original Score),Fame,Michael Gore
1980,MUSIC (Original Song),"""Fame"" from Fame",Music by Michael Gore; Lyric by Dean Pitchford
1980,BEST PICTURE,Ordinary People,"Ronald L. Schwary, Producer"
1980,SHORT FILM (Animated),The Fly,"Ferenc Rofusz, Producer"
1980,SHORT FILM (Dramatic Live Action),The Dollar Bottom,"Lloyd Phillips, Producer"
1980,WRITING (Screenplay Based on Material from Another Medium),Ordinary People,Alvin Sargent
1980,WRITING (Screenplay Written Directly for the Screen),Melvin and Howard,Bo Goldman
1981,DIRECTING,Reds,Warren Beatty
1981,DOCUMENTARY (Feature),Genocide,"Arnold Schwartzman and Rabbi Marvin Hier, Producers"
1981,DOCUMENTARY (Short Subject),Close Harmony,"Nigel Noble, Producer"
1981,DOCUMENTARY (Short Subject),Mephisto,Hungary
1981,MUSIC (Original Score),Chariots of Fire,Vangelis
1981,MUSIC (Original Song),"""Arthur's Theme (Best That You Can Do)"" from Arthur","Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
1981,BEST PICTURE,Chariots of Fire,"David Puttnam, Producer"
1981,SHORT FILM (Animated),Crac,"Frédéric Back, Producer"
1981,SHORT FILM (Live Action),Violet,"Paul Kemp and Shelley Levinson, Producers"
1981,WRITING (Screenplay Based on Material from Another Medium),On Golden Pond,Ernest Thompson
1981,WRITING (Screenplay Written Directly for the Screen),Chariots of Fire,Colin Welland
1982,DIRECTING,Gandhi,Richard Attenborough
1982,DOCUMENTARY (Feature),Just Another Missing Kid,"John Zaritsky, Producer"
1982,DOCUMENTARY (Short Subject),If You Love This Planet,"Edward Le Lorrain and Terri Nash, Producers"
1982,DOCUMENTARY (Short Subject),Volver a Empezar ('To Begin Again'),Spain
1982,MUSIC (Original Score),E.T. The Extra-Terrestrial,John Williams
1982,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Victor/Victoria,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
1982,MUSIC (Original Song),"""Up Where We Belong"" from An Officer and a Gentleman",Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
1982,BEST PICTURE,Gandhi,"Richard Attenborough, Producer"
1982,SHORT FILM (Animated),Tango,"Zbigniew Rybczynski, Producer"
1982,SHORT FILM (Live Action),A Shocking Accident,"Christine Oestreicher, Producer"
1982,WRITING (Screenplay Based on Material from Another Medium),Missing,"Costa-Gavras, Donald Stewart"
1982,WRITING (Screenplay Written Directly for the Screen),Gandhi,John Briley
1983,DIRECTING,Terms of Endearment,James L. Brooks
1983,DOCUMENTARY (Feature),He Makes Me Feel Like Dancin',"Emile Ardolino, Producer"
1983,DOCUMENTARY (Short Subject),Flamenco at 5:15,"Cynthia Scott and Adam Symansky, Producers"
1983,DOCUMENTARY (Short Subject),Fanny & Alexander,Sweden
1983,MUSIC (Original Score),The Right Stuff,Bill Conti
1983,MUSIC (Original Song Score or Adaptation Score),Yentl,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman"
1983,MUSIC (Original Song),"""Flashdance...What A Feeling"" from Flashdance",Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara
1983,BEST PICTURE,Terms of Endearment,"James L. Brooks, Producer"
1983,SHORT FILM (Animated),Sundae in New York,"Jimmy Picker, Producer"
1983,SHORT FILM (Live Action),Boys and Girls,"Janice L. Platt, Producer"
1983,WRITING (Screenplay Based on Material from Another Medium),Terms of Endearment,James L. Brooks
1983,WRITING (Screenplay Written Directly for the Screen),Tender Mercies,Horton Foote
1984,DIRECTING,Amadeus,Milos Forman
1984,DOCUMENTARY (Feature),The Times of Harvey Milk,"Robert Epstein and Richard Schmiechen, Producers"
1984,DOCUMENTARY (Short Subject),The Stone Carvers,"Marjorie Hunt and Paul Wagner, Producers"
1984,DOCUMENTARY (Short Subject),Dangerous Moves,Switzerland
1984,MUSIC (Original Score),A Passage to India,Maurice Jarre
1984,MUSIC (Original Song Score),Purple Rain,Prince
1984,MUSIC (Original Song),"""I Just Called To Say I Love You"" from The Woman in Red",Music and Lyric by Stevie Wonder
1984,BEST PICTURE,Amadeus,"Saul Zaentz, Producer"
1984,SHORT FILM (Animated),Charade,"Jon Minnis, Producer"
1984,SHORT FILM (Live Action),Up,"Mike Hoover, Producer"
1984,WRITING (Screenplay Based on Material from Another Medium),Amadeus,Peter Shaffer
1984,WRITING (Screenplay Written Directly for the Screen),Places in the Heart,Robert Benton
1985,DIRECTING,Out of Africa,Sydney Pollack
1985,DOCUMENTARY (Feature),Broken Rainbow,"Maria Florio and Victoria Mudd, Producers"
1985,DOCUMENTARY (Short Subject),Witness to War: Dr. Charlie Clements,"David Goodman, Producer"
1985,DOCUMENTARY (Short Subject),The Official Story,Argentina
1985,MUSIC (Original Score),Out of Africa,John Barry
1985,MUSIC (Original Song),"""Say You, Say Me"" from White Nights",Music and Lyric by Lionel Richie
1985,BEST PICTURE,Out of Africa,"Sydney Pollack, Producer"
1985,SHORT FILM (Animated),Anna & Bella,"Cilia Van Dijk, Producer"
1985,SHORT FILM (Live Action),Molly's Pilgrim,"Jeff Brown and Chris Pelzer, Producers"
1985,WRITING (Screenplay Based on Material from Another Medium),Out of Africa,Kurt Luedtke
1985,WRITING (Screenplay Written Directly for the Screen),Witness,"Screenplay by Earl W. Wallace, William Kelley; Story by William Kelley, Pamela Wallace, Earl W. Wallace"
1986,DIRECTING,Platoon,Oliver Stone
1986,DOCUMENTARY (Feature),Artie Shaw: Time Is All You've Got,"Brigitte Berman, Producer"
1986,DOCUMENTARY (Feature),Down and Out in America,"Joseph Feury and Milton Justice, Producers"
1986,DOCUMENTARY (Short Subject),"Women--for America, for the World","Vivienne Verdon-Roe, Producer"
1986,DOCUMENTARY (Short Subject),The Assault,The Netherlands
1986,MUSIC (Original Score),'Round Midnight,Herbie Hancock
1986,MUSIC (Original Song),"""Take My Breath Away"" from Top Gun",Music by Giorgio Moroder; Lyric by Tom Whitlock
1986,BEST PICTURE,Platoon,"Arnold Kopelson, Producer"
1986,SHORT FILM (Animated),A Greek Tragedy,"Linda Van Tulden and Willem Thijssen, Producers"
1986,SHORT FILM (Live Action),Precious Images,"Chuck Workman, Producer"
1986,WRITING (Screenplay Based on Material from Another Medium),A Room with a View,Ruth Prawer Jhabvala
1986,WRITING (Screenplay Written Directly for the Screen),Hannah and Her Sisters,Woody Allen
1987,DIRECTING,The Last Emperor,Bernardo Bertolucci
1987,DOCUMENTARY (Feature),The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,"Aviva Slesin, Producer"
1987,DOCUMENTARY (Short Subject),Young at Heart,"Sue Marx and Pamela Conn, Producers"
1987,DOCUMENTARY (Short Subject),Babette's Feast,Denmark
1987,MUSIC (Original Score),The Last Emperor,"Ryuichi Sakamoto, David Byrne, Cong Su"
1987,MUSIC (Original Song),"""(I've Had) The Time Of My Life"" from Dirty Dancing","Music by Franke Previte, John DeNicola and Donald Markowitz; Lyric by Franke Previte"
1987,BEST PICTURE,The Last Emperor,"Jeremy Thomas, Producer"
1987,SHORT FILM (Animated),The Man Who Planted Trees,"Frédéric Back, Producer"
1987,SHORT FILM (Live Action),Ray's Male Heterosexual Dance Hall,"Jonathan Sanger and Jana Sue Memel, Producers"
1987,WRITING (Screenplay Based on Material from Another Medium),The Last Emperor,"Mark Peploe, Bernardo Bertolucci"
1987,WRITING (Screenplay Written Directly for the Screen),Moonstruck,John Patrick Shanley
1988,DIRECTING,Rain Man,Barry Levinson
1988,DOCUMENTARY (Feature),Hotel Terminus: The Life and Times of Klaus Barbie,"Marcel Ophuls, Producer"
1988,DOCUMENTARY (Short Subject),You Don't Have to Die,"William Guttentag and Malcolm Clarke, Producers"
1988,DOCUMENTARY (Short Subject),Pelle the Conqueror,Denmark
1988,MUSIC (Original Score),The Milagro Beanfield War,Dave Grusin
1988,MUSIC (Original Song),"""Let The River Run"" from Working Girl",Music and Lyric by Carly Simon
1988,BEST PICTURE,Rain Man,"Mark Johnson, Producer"
1988,SHORT FILM (Animated),Tin Toy,"John Lasseter, William Reeves"
1988,SHORT FILM (Live Action),The Appointments of Dennis Jennings,"Dean Parisot, Steven Wright"
1988,WRITING (Screenplay Based on Material from Another Medium),Dangerous Liaisons,Christopher Hampton
1988,WRITING (Screenplay Written Directly for the Screen),Rain Man,"Screenplay by Ronald Bass, Barry Morrow; Story by Barry Morrow"
1989,DIRECTING,Born on the Fourth of July,Oliver Stone
1989,DOCUMENTARY (Feature),Common Threads: Stories from the Quilt,"Robert Epstein and Bill Couturié, Producers"
1989,DOCUMENTARY (Short Subject),The Johnstown Flood,"Charles Guggenheim, Producer"
1989,DOCUMENTARY (Short Subject),Cinema Paradiso,Italy
1989,MUSIC (Original Score),The Little Mermaid,Alan Menken
1989,MUSIC (Original Song),"""Under The Sea"" from The Little Mermaid",Music by Alan Menken; Lyric by Howard Ashman
1989,BEST PICTURE,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers"
1989,SHORT FILM (Animated),Balance,"Christoph Lauenstein, Wolfgang Lauenstein"
1989,SHORT FILM (Live Action),Work Experience,James Hendrie
1989,WRITING (Screenplay Based on Material from Another Medium),Driving Miss Daisy,Alfred Uhry
1989,WRITING (Screenplay Written Directly for the Screen),Dead Poets Society,Tom Schulman
1990,DIRECTING,Dances With Wolves,Kevin Costner
1990,DOCUMENTARY (Feature),American Dream,"Barbara Kopple and Arthur Cohn, Producers"
1990,DOCUMENTARY (Short Subject),Days of Waiting,"Steven Okazaki, Producer"
1990,DOCUMENTARY (Short Subject),Journey of Hope,Switzerland
1990,MUSIC (Original Score),Dances With Wolves,John Barry
1990,MUSIC (Original Song),"""Sooner Or Later (I Always Get My Man)"" from Dick Tracy",Music and Lyric by Stephen Sondheim
1990,BEST PICTURE,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers"
1990,SHORT FILM (Animated),Creature Comforts,Nick Park
1990,SHORT FILM (Live Action),The Lunch Date,Adam Davidson
1990,WRITING (Screenplay Based on Material from Another Medium),Dances With Wolves,Michael Blake
1990,WRITING (Screenplay Written Directly for the Screen),Ghost,Bruce Joel Rubin
1991,DIRECTING,The Silence of the Lambs,Jonathan Demme
1991,DOCUMENTARY (Feature),In the Shadow of the Stars,"Allie Light and Irving Saraf, Producers"
1991,DOCUMENTARY (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Debra Chasnoff, Producer"
1991,DOCUMENTARY (Short Subject),Mediterraneo,Italy
1991,MUSIC (Original Score),Beauty and the Beast,Alan Menken
1991,MUSIC (Original Song),"""Beauty And The Beast"" from Beauty and the Beast",Music by Alan Menken; Lyric by Howard Ashman
1991,BEST PICTURE,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers"
1991,SHORT FILM (Animated),Manipulation,Daniel Greaves
1991,SHORT FILM (Live Action),Session Man,"Seth Winston, Rob Fried"
1991,WRITING (Screenplay Based on Material Previously Produced or Published),The Silence of the Lambs,Ted Tally
1991,WRITING (Screenplay Written Directly for the Screen),Thelma & Louise,Callie Khouri
1992,DIRECTING,Unforgiven,Clint Eastwood
1992,DOCUMENTARY (Feature),The Panama Deception,"Barbara Trent and David Kasper, Producers"
1992,DOCUMENTARY (Short Subject),Educating Peter,"Thomas C. Goodwin and Gerardine Wurzburg, Producers"
1992,DOCUMENTARY (Short Subject),Indochine,France
1992,MUSIC (Original Score),Aladdin,Alan Menken
1992,MUSIC (Original Song),"""A Whole New World"" from Aladdin",Music by Alan Menken; Lyric by Tim Rice
1992,BEST PICTURE,Unforgiven,"Clint Eastwood, Producer"
1992,SHORT FILM (Animated),Mona Lisa Descending a Staircase,Joan C. Gratz
1992,SHORT FILM (Live Action),Omnibus,Sam Karmann
1992,WRITING (Screenplay Based on Material Previously Produced or Published),Howards End,Ruth Prawer Jhabvala
1992,WRITING (Screenplay Written Directly for the Screen),The Crying Game,Neil Jordan
1993,DIRECTING,Schindler's List,Steven Spielberg
1993,DOCUMENTARY (Feature),I Am a Promise: The Children of Stanton Elementary School,"Susan Raymond, Alan Raymond"
1993,DOCUMENTARY (Short Subject),Defending Our Lives,"Margaret Lazarus, Renner Wunderlich"
1993,DOCUMENTARY (Short Subject),Belle Epoque,Spain
1993,MUSIC (Original Score),Schindler's List,John Williams
1993,MUSIC (Original Song),"""Streets Of Philadelphia"" from Philadelphia",Music and Lyric by Bruce Springsteen
1993,BEST PICTURE,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers"
1993,SHORT FILM (Animated),The Wrong Trousers,Nick Park
1993,SHORT FILM (Live Action),Black Rider (Schwarzfahrer),Pepe Danquart
1993,WRITING (Screenplay Based on Material Previously Produced or Published),Schindler's List,Steven Zaillian
1993,WRITING (Screenplay Written Directly for the Screen),The Piano,Jane Campion
1994,DIRECTING,Forrest Gump,Robert Zemeckis
1994,DOCUMENTARY (Feature),Maya Lin: A Strong Clear Vision,"Freida Lee Mock, Terry Sanders"
1994,DOCUMENTARY (Short Subject),A Time for Justice,Charles Guggenheim
1994,DOCUMENTARY (Short Subject),Burnt by the Sun,Russia
1994,MUSIC (Original Score),The Lion King,Hans Zimmer
1994,MUSIC (Original Song),"""Can You Feel The Love Tonight"" from The Lion King",Music by Elton John; Lyric by Tim Rice
1994,BEST PICTURE,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers"
1994,SHORT FILM (Animated),Bob's Birthday,"Alison Snowden, David Fine"
1994,SHORT FILM (Live Action),Franz Kafka's It's a Wonderful Life,"Peter Capaldi, Ruth Kenley-Letts"
1994,SHORT FILM (Live Action),Trevor,"Peggy Rajski, Randy Stone"
1994,WRITING (Screenplay Based on Material Previously Produced or Published),Forrest Gump,Eric Roth
1994,WRITING (Screenplay Written Directly for the Screen),Pulp Fiction,Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary
1995,DIRECTING,Braveheart,Mel Gibson
1995,DOCUMENTARY (Feature),Anne Frank Remembered,Jon Blair
1995,DOCUMENTARY (Short Subject),One Survivor Remembers,Kary Antholis
1995,DOCUMENTARY (Short Subject),Antonia's Line,The Netherlands
1995,MUSIC (Original Dramatic Score),The Postman (Il Postino),Luis Enrique Bacalov
1995,MUSIC (Original Musical or Comedy Score),Pocahontas,Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
1995,MUSIC (Original Song),"""Colors Of The Wind"" from Pocahontas",Music by Alan Menken; Lyric by Stephen Schwartz
1995,BEST PICTURE,Braveheart,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers"
1995,SHORT FILM (Animated),A Close Shave,Nick Park
1995,SHORT FILM (Live Action),Lieberman in Love,"Christine Lahti, Jana Sue Memel"
1995,WRITING (Screenplay Based on Material Previously Produced or Published),Sense and Sensibility,Emma Thompson
1995,WRITING (Screenplay Written Directly for the Screen),The Usual Suspects,Christopher McQuarrie
1996,DIRECTING,The English Patient,Anthony Minghella
1996,DOCUMENTARY (Feature),When We Were Kings,"Leon Gast, David Sonenberg"
1996,DOCUMENTARY (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien,Jessica Yu
1996,DOCUMENTARY (Short Subject),Kolya,Czech Republic
1996,MUSIC (Original Dramatic Score),The English Patient,Gabriel Yared
1996,MUSIC (Original Musical or Comedy Score),Emma,Rachel Portman
1996,MUSIC (Original Song),"""You Must Love Me"" from Evita",Music by Andrew Lloyd Webber; Lyric by Tim Rice
1996,BEST PICTURE,The English Patient,"Saul Zaentz, Producer"
1996,SHORT FILM (Animated),Quest,"Tyron Montgomery, Thomas Stellmach"
1996,SHORT FILM (Live Action),Dear Diary,"David Frankel, Barry Jossen"
1996,WRITING (Screenplay Based on Material Previously Produced or Published),Sling Blade,Billy Bob Thornton
1996,WRITING (Screenplay Written Directly for the Screen),Fargo,"Ethan Coen, Joel Coen"
1997,DIRECTING,Titanic,James Cameron
1997,DOCUMENTARY (Feature),The Long Way Home,"Rabbi Marvin Hier, Richard Trank"
1997,DOCUMENTARY (Short Subject),A Story of Healing,"Donna Dewey, Carol Pasternak"
1997,DOCUMENTARY (Short Subject),Character,The Netherlands
1997,MUSIC (Original Dramatic Score),Titanic,James Horner
1997,MUSIC (Original Musical or Comedy Score),The Full Monty,Anne Dudley
1997,MUSIC (Original Song),"""My Heart Will Go On"" from Titanic",Music by James Horner; Lyric by Will Jennings
1997,BEST PICTURE,Titanic,"James Cameron and Jon Landau, Producers"
1997,SHORT FILM (Animated),Geri's Game,Jan Pinkava
1997,SHORT FILM (Live Action),Visas and Virtue,"Chris Tashima, Chris Donahue"
1997,WRITING (Screenplay Based on Material Previously Produced or Published),L.A. Confidential,"Brian Helgeland, Curtis Hanson"
1997,WRITING (Screenplay Written Directly for the Screen),Good Will Hunting,"Ben Affleck, Matt Damon"
1998,DIRECTING,Saving Private Ryan,Steven Spielberg
1998,DOCUMENTARY (Feature),The Last Days,"James Moll, Ken Lipper"
1998,DOCUMENTARY (Short Subject),The Personals: Improvisations on Romance in the Golden Years,Keiko Ibi
1998,DOCUMENTARY (Short Subject),Life Is Beautiful,Italy
1998,MUSIC (Original Dramatic Score),Life Is Beautiful,Nicola Piovani
1998,MUSIC (Original Musical or Comedy Score),Shakespeare in Love,Stephen Warbeck
