year,category,name_of_work,staff_members
1999,DOCUMENTARY (Short Subject),King Gimp,"Susan Hannah Hadary, William A. Whiteford"
1999,MUSIC (Original Score),The Cider House Rules,Rachel Portman
1999,MUSIC (Original Song),"""Music Of My Heart"" from Music of the Heart",Music and Lyric by Diane Warren
1999,MUSIC (Original Song),"""Save Me"" from Magnolia",Music and Lyric by Aimee Mann
1999,BEST PICTURE,The Sixth Sense,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers"
1999,SHORT FILM (Animated),My Grandmother Ironed the King's Shirts,Torill Kove
1999,SHORT FILM (Animated),When the Day Breaks,"Wendy Tilby, Amanda Forbis"
1999,SHORT FILM (Live Action),Kleingeld (Small Change),"Marc-Andreas Bochert, Gabriele Lins"
1999,SHORT FILM (Live Action),My Mother Dreams the Satan's Disciples in New York,"Barbara Schock, Tammy Tiehel"
2000,DOCUMENTARY (Feature),Into the Arms of Strangers: Stories of the Kindertransport,"Mark Jonathan Harris, Deborah Oppenheimer"
2000,DOCUMENTARY (Feature),Long Night's Journey into Day,"Frances Reid, Deborah Hoffmann"
2000,DOCUMENTARY (Short Subject),Big Mama,Tracy Seretean
2000,MUSIC (Original Score),Chocolat,Rachel Portman
2000,MUSIC (Original Song),"""I've Seen It All"" from Dancer in the Dark",Music by Björk; Lyric by Lars von Trier and Sjon Sigurdsson
2000,BEST PICTURE,Chocolat,"David Brown, Kit Golden and Leslie Holleran, Producers"
2000,BEST PICTURE,Erin Brockovich,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers"
2000,BEST PICTURE,Traffic,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers"
2000,SHORT FILM (Animated),The Periwig-Maker,"Steffen Schäffler, Annette Schäffler"
2000,SHORT FILM (Live Action),By Courier,"Peter Riegert, Ericka Frederick"
2000,SHORT FILM (Live Action),One Day Crossing,"Joan Stein, Christina Lazaridi"
2000,SHORT FILM (Live Action),Seraglio,"Gail Lerner, Colin Campbell"
2000,WRITING (Screenplay Based on Material Previously Produced or Published),"Crouching Tiger, Hidden Dragon",Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung
2000,WRITING (Screenplay Written Directly for the Screen),Erin Brockovich,Written by Susannah Grant
2001,DOCUMENTARY (Feature),Children Underground,Edet Belzberg
2001,DOCUMENTARY (Feature),LaLee's Kin: The Legacy of Cotton,"Susan Froemke, Deborah Dickson"
2001,DOCUMENTARY (Feature),Promises,"Justine Shapiro, B.Z. Goldberg"
2001,DOCUMENTARY (Short Subject),Artists and Orphans: A True Drama,Lianne Klapper McNally
2001,DOCUMENTARY (Short Subject),Sing!,"Freida Lee Mock, Jessica Sanders"
2001,DOCUMENTARY (Short Subject),Thoth,"Sarah Kernochan, Lynn Appelle"
2001,MUSIC (Original Song),"""May It Be"" from The Lord of the Rings: The Fellowship of the Ring","Music and Lyric by Enya, Nicky Ryan and Roma Ryan"
2001,MUSIC (Original Song),"""There You'll Be"" from Pearl Harbor",Music and Lyric by Diane Warren
2001,BEST PICTURE,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers"
2001,SHORT FILM (Live Action),the accountant,"Ray McKinnon, Lisa Blount"
2001,SHORT FILM (Live Action),Speed for Thespians,"Kalman Apple, Shameela Bakhsh"
2001,WRITING (Screenplay Based on Material Previously Produced or Published),The Lord of the Rings: The Fellowship of the Ring,"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson"
2002,DOCUMENTARY (Feature),Daughter from Danang,"Gail Dolgin, Vicente Franco"
2002,DOCUMENTARY (Short Subject),The Collector of Bedford Street,Alice Elliott
2002,MUSIC (Original Song),"""Burn It Blue"" from Frida",Music by Elliot Goldenthal; Lyric by Julie Taymor
2002,BEST PICTURE,The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers"
2002,SHORT FILM (Animated),Das Rad,"Chris Stenner, Heidi Wittlinger"
2002,SHORT FILM (Live Action),Fait D'Hiver,"Dirk Beliën, Anja Daelemans"
2002,SHORT FILM (Live Action),Inja (Dog),"Steven Pasvolsky, Joe Weatherstone"
2002,SHORT FILM (Live Action),Johnny Flynton,"Lexi Alexander, Alexander Buono"
2002,SHORT FILM (Live Action),This Charming Man (Der Er En Yndig Mand),"Martin Strange-Hansen, Mie Andreasen"
2002,WRITING (Original Screenplay),My Big Fat Greek Wedding,Written by Nia Vardalos
2003,DIRECTING,Lost in Translation,Sofia Coppola
2003,DOCUMENTARY (Feature),My Architect,Nathaniel Kahn and Susan R. Behr
2003,DOCUMENTARY (Short Subject),Asylum,Sandy McLeod and Gini Reticker
2003,DOCUMENTARY (Short Subject),Chernobyl Heart,Maryann DeLeo
2003,DOCUMENTARY (Short Subject),Ferry Tales,Katja Esson
2003,MUSIC (Original Song),"""Into The West"" from The Lord of the Rings: The Return of the King",Music and Lyric by Fran Walsh and Howard Shore and Annie Lennox
2003,MUSIC (Original Song),"""A Kiss At The End Of The Rainbow"" from A Mighty Wind",Music and Lyric by Michael McKean and Annette O'Toole
2003,BEST PICTURE,The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
2003,BEST PICTURE,Lost in Translation,"Ross Katz and Sofia Coppola, Producers"
2003,BEST PICTURE,Mystic River,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers"
2003,BEST PICTURE,Seabiscuit,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers"
2003,WRITING (Adapted Screenplay),American Splendor,Written by Robert Pulcini & Shari Springer Berman
2003,WRITING (Adapted Screenplay),The Lord of the Rings: The Return of the King,"Screenplay by Fran Walsh, Philippa Boyens & Peter Jackson"
2003,WRITING (Original Screenplay),In America,Written by Jim Sheridan & Naomi Sheridan & Kirsten Sheridan
2003,WRITING (Original Screenplay),Lost in Translation,Written by Sofia Coppola
2004,DOCUMENTARY (Feature),Born into Brothels,Ross Kauffman and Zana Briski
2004,DOCUMENTARY (Feature),The Story of the Weeping Camel,Luigi Falorni and Byambasuren Davaa
2004,DOCUMENTARY (Feature),Tupac: Resurrection,Lauren Lazin and Karolyn Ali
2004,DOCUMENTARY (Short Subject),Autism Is a World,Gerardine Wurzburg
2004,DOCUMENTARY (Short Subject),The Children of Leningradsky,Hanna Polak and Andrzej Celinski
2004,DOCUMENTARY (Short Subject),Hardwood,Hubert Davis and Erin Faith Young
2004,BEST PICTURE,Finding Neverland,"Richard N. Gladstein and Nellie Bellflower, Producers"
2004,SHORT FILM (Live Action),"Two Cars, One Night",Taika Waititi and Ainsley Gardiner
2004,SHORT FILM (Live Action),Wasp,Andrea Arnold
2004,WRITING (Adapted Screenplay),Before Sunset,Screenplay by Richard Linklater & Julie Delpy & Ethan Hawke; Story by Richard Linklater & Kim Krizan
2005,DOCUMENTARY (Short Subject),God Sleeps in Rwanda,Kimberlee Acquaro and Stacy Sherman
2005,DOCUMENTARY (Short Subject),A Note of Triumph: The Golden Age of Norman Corwin,Corinne Marrinan and Eric Simonson
2005,MUSIC (Original Song),"""In The Deep"" from Crash","Music by Kathleen ""Bird"" York and Michael Becker; Lyric by Kathleen ""Bird"" York"
2005,MUSIC (Original Song),"""Travelin' Thru"" from Transamerica",Music and Lyric by Dolly Parton
2005,BEST PICTURE,Brokeback Mountain,"Diana Ossana and James Schamus, Producers"
2005,BEST PICTURE,Capote,"Caroline Baron, William Vince and Michael Ohoven, Producers"
2005,BEST PICTURE,Crash,"Paul Haggis and Cathy Schulman, Producers"
2005,BEST PICTURE,Munich,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers"
2005,SHORT FILM (Animated),Badgered,Sharon Colman
2005,SHORT FILM (Animated),The Moon and the Son: An Imagined Conversation,John Canemaker and Peggy Stern
2005,SHORT FILM (Live Action),Ausreisser (The Runaway),Ulrike Grote
2005,SHORT FILM (Live Action),Cashback,Sean Ellis and Lene Bausager
2005,SHORT FILM (Live Action),Our Time Is Up,Rob Pearlstein and Pia Clemente
2005,WRITING (Adapted Screenplay),Brokeback Mountain,Screenplay by Larry McMurtry & Diana Ossana
2006,DOCUMENTARY (Feature),Deliver Us from Evil,Amy Berg and Frank Donner
2006,DOCUMENTARY (Feature),Jesus Camp,Heidi Ewing and Rachel Grady
2006,DOCUMENTARY (Feature),"My Country, My Country",Laura Poitras and Jocelyn Glatzer
2006,DOCUMENTARY (Short Subject),The Blood of Yingzhou District,Ruby Yang and Thomas Lennon
2006,DOCUMENTARY (Short Subject),Recycled Life,Leslie Iwerks and Mike Glad
2006,DOCUMENTARY (Short Subject),Rehearsing a Dream,Karen Goodman and Kirk Simon
2006,DOCUMENTARY (Short Subject),Two Hands,Nathaniel Kahn and Susan Rose Behr
2006,MUSIC (Original Song),"""I Need To Wake Up"" from An Inconvenient Truth",Music and Lyric by Melissa Etheridge
2006,MUSIC (Original Song),"""Listen"" from Dreamgirls",Music by Henry Krieger and Scott Cutler; Lyric by Anne Preven
2006,MUSIC (Original Song),"""Love You I Do"" from Dreamgirls",Music by Henry Krieger; Lyric by Siedah Garrett
2006,BEST PICTURE,The Queen,"Andy Harries, Christine Langan and Tracey Seaward, Producers"
2006,SHORT FILM (Animated),The Danish Poet,Torill Kove
2006,WRITING (Original Screenplay),Letters from Iwo Jima,Screenplay by Iris Yamashita; Story by Iris Yamashita & Paul Haggis
2007,ANIMATED FEATURE FILM,Persepolis,Marjane Satrapi and Vincent Paronnaud
2007,DOCUMENTARY (Feature),No End in Sight,Charles Ferguson and Audrey Marrs
2007,DOCUMENTARY (Feature),Sicko,Michael Moore and Meghan O'Hara
2007,DOCUMENTARY (Feature),Taxi to the Dark Side,Alex Gibney and Eva Orner
2007,DOCUMENTARY (Feature),War/Dance,Andrea Nix Fine and Sean Fine
2007,DOCUMENTARY (Short Subject),Freeheld,Cynthia Wade and Vanessa Roth
2007,DOCUMENTARY (Short Subject),La Corona (The Crown),Amanda Micheli and Isabel Vega
2007,MUSIC (Original Song),"""Falling Slowly"" from Once",Music and Lyric by Glen Hansard and Marketa Irglova
2007,BEST PICTURE,Juno,"Lianne Halfon, Mason Novick and Russell Smith, Producers"
2007,BEST PICTURE,Michael Clayton,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers"
2007,BEST PICTURE,There Will Be Blood,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers"
2007,SHORT FILM (Animated),Peter & the Wolf,Suzie Templeton and Hugh Welchman
2007,SHORT FILM (Live Action),At Night,Christian E. Christiansen and Louise Vesth
2007,SHORT FILM (Live Action),Tanghi Argentini,Guido Thys and Anja Daelemans
2007,WRITING (Adapted Screenplay),Away from Her,Written by Sarah Polley
2007,WRITING (Original Screenplay),Juno,Written by Diablo Cody
2007,WRITING (Original Screenplay),Lars and the Real Girl,Written by Nancy Oliver
2007,WRITING (Original Screenplay),The Savages,Written by Tamara Jenkins
2008,DOCUMENTARY (Feature),The Betrayal (Nerakhoon),Ellen Kuras and Thavisouk Phrasavath
2008,DOCUMENTARY (Feature),Trouble the Water,Tia Lessin and Carl Deal
2008,DOCUMENTARY (Short Subject),The Final Inch,Irene Taylor Brodsky and Tom Grant
2008,DOCUMENTARY (Short Subject),Smile Pinki,Megan Mylan
2008,DOCUMENTARY (Short Subject),The Witness - From the Balcony of Room 306,Adam Pertofsky and Margaret Hyde
2008,MUSIC (Original Song),"""O Saya"" from Slumdog Millionaire",Music and Lyric by A.R. Rahman and Maya Arulpragasam
2008,BEST PICTURE,The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
2008,BEST PICTURE,The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
2008,SHORT FILM (Live Action),Manon on the Asphalt,Elizabeth Marre and Olivier Pont
2008,SHORT FILM (Live Action),New Boy,Steph Green and Tamara Anghie
2008,SHORT FILM (Live Action),The Pig,Tivi Magnusson and Dorte Høgh
2008,WRITING (Adapted Screenplay),The Curious Case of Benjamin Button,Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord
2008,WRITING (Original Screenplay),Frozen River,Written by Courtney Hunt
2009,DIRECTING,The Hurt Locker,Kathryn Bigelow
2009,DOCUMENTARY (Feature),Burma VJ,Anders Østergaard and Lise Lense-Møller
2009,DOCUMENTARY (Feature),"Food, Inc.",Robert Kenner and Elise Pearlstein
2009,DOCUMENTARY (Feature),The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Judith Ehrlich and Rick Goldsmith
2009,DOCUMENTARY (Feature),Which Way Home,Rebecca Cammisa
2009,DOCUMENTARY (Short Subject),The Last Truck: Closing of a GM Plant,Steven Bognar and Julia Reichert
2009,DOCUMENTARY (Short Subject),Music by Prudence,Roger Ross Williams and Elinor Burkett
2009,DOCUMENTARY (Short Subject),Rabbit à la Berlin,Bartek Konopka and Anna Wydra
2009,BEST PICTURE,District 9,"Peter Jackson and Carolynne Cunningham, Producers"
2009,BEST PICTURE,An Education,"Finola Dwyer and Amanda Posey, Producers"
2009,BEST PICTURE,The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers"
2009,BEST PICTURE,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
2009,SHORT FILM (Live Action),The Door,Juanita Wilson and James Flynn
2009,WRITING (Adapted Screenplay),District 9,Written by Neill Blomkamp and Terri Tatchell
2010,DOCUMENTARY (Feature),Gasland,Josh Fox and Trish Adlesic
2010,DOCUMENTARY (Feature),Inside Job,Charles Ferguson and Audrey Marrs
2010,DOCUMENTARY (Feature),Waste Land,Lucy Walker and Angus Aynsley
2010,DOCUMENTARY (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block
2010,DOCUMENTARY (Short Subject),Strangers No More,Karen Goodman and Kirk Simon
2010,DOCUMENTARY (Short Subject),Sun Come Up,Jennifer Redfearn and Tim Metzger
2010,DOCUMENTARY (Short Subject),The Warriors of Qiugang,Ruby Yang and Thomas Lennon
2010,MUSIC (Original Song),"""Coming Home"" from Country Strong","Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey"
2010,MUSIC (Original Song),"""If I Rise"" from 127 Hours",Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong
2010,BEST PICTURE,Inception,"Emma Thomas and Christopher Nolan, Producers"
2010,BEST PICTURE,The Kids Are All Right,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
2010,BEST PICTURE,The Social Network,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
2010,BEST PICTURE,Toy Story 3,"Darla K. Anderson, Producer"
2010,BEST PICTURE,Winter's Bone,"Anne Rosellini and Alix Madigan-Yorkin, Producers"
2010,SHORT FILM (Live Action),Wish 143,Ian Barnes and Samantha Waite
2010,WRITING (Adapted Screenplay),Winter's Bone,Adapted for the screen by Debra Granik & Anne Rosellini
2010,WRITING (Original Screenplay),The Kids Are All Right,Written by Lisa Cholodenko & Stuart Blumberg
2011,ANIMATED FEATURE FILM,Kung Fu Panda 2,Jennifer Yuh Nelson
2011,DOCUMENTARY (Short Subject),The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,Robin Fryday and Gail Dolgin
2011,DOCUMENTARY (Short Subject),God Is the Bigger Elvis,Rebecca Cammisa and Julie Anderson
2011,DOCUMENTARY (Short Subject),Saving Face,Daniel Junge and Sharmeen Obaid-Chinoy
2011,DOCUMENTARY (Short Subject),The Tsunami and the Cherry Blossom,Lucy Walker and Kira Carstensen
2011,MUSIC (Original Song),"""Real In Rio"" from Rio",Music by Sergio Mendes and Carlinhos Brown; Lyric by Siedah Garrett
2011,BEST PICTURE,Midnight in Paris,"Letty Aronson and Stephen Tenenbaum, Producers"
2011,BEST PICTURE,Moneyball,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers"
2011,BEST PICTURE,The Tree of Life,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers"
2011,BEST PICTURE,War Horse,"Steven Spielberg and Kathleen Kennedy, Producers"
2011,SHORT FILM (Animated),A Morning Stroll,Grant Orchard and Sue Goffe
2011,SHORT FILM (Animated),Wild Life,Amanda Forbis and Wendy Tilby
2011,SHORT FILM (Live Action),Pentecost,Peter McDonald and Eimear O'Kane
2011,SHORT FILM (Live Action),The Shore,Terry George and Oorlagh George
2011,SHORT FILM (Live Action),Time Freak,Andrew Bowler and Gigi Causey
2011,WRITING (Adapted Screenplay),Tinker Tailor Soldier Spy,Screenplay by Bridget O'Connor & Peter Straughan
2011,WRITING (Original Screenplay),Bridesmaids,Written by Annie Mumolo & Kristen Wiig
2012,ANIMATED FEATURE FILM,Brave,Mark Andrews and Brenda Chapman
2012,DOCUMENTARY (Feature),The Gatekeepers,"Dror Moreh, Philippa Kowarsky and Estelle Fialon"
2012,DOCUMENTARY (Feature),The Invisible War,Kirby Dick and Amy Ziering
2012,DOCUMENTARY (Short Subject),Inocente,Sean Fine and Andrea Nix Fine
2012,DOCUMENTARY (Short Subject),Kings Point,Sari Gilman and Jedd Wider
2012,DOCUMENTARY (Short Subject),Mondays at Racine,Cynthia Wade and Robin Honan
2012,DOCUMENTARY (Short Subject),Open Heart,Kief Davidson and Cori Shepherd Stern
2012,MUSIC (Original Song),"""Pi's Lullaby"" from Life of Pi",Music by Mychael Danna; Lyric by Bombay Jayashri
2012,MUSIC (Original Song),"""Skyfall"" from Skyfall",Music and Lyric by Adele Adkins and Paul Epworth
2012,BEST PICTURE,Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers"
2012,BEST PICTURE,Django Unchained,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers"
2012,BEST PICTURE,Les Misérables,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers"
2012,BEST PICTURE,Lincoln,"Steven Spielberg and Kathleen Kennedy, Producers"
2012,BEST PICTURE,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers"
2012,BEST PICTURE,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers"
2012,SHORT FILM (Animated),Head over Heels,Timothy Reckart and Fodhla Cronin O'Reilly
2012,SHORT FILM (Live Action),Death of a Shadow (Dood van een Schaduw),Tom Van Avermaet and Ellen De Waele
2012,WRITING (Adapted Screenplay),Beasts of the Southern Wild,Screenplay by Lucy Alibar & Benh Zeitlin
2013,ANIMATED FEATURE FILM,The Croods,"Chris Sanders, Kirk DeMicco and Kristine Belson"
2013,ANIMATED FEATURE FILM,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho"
2013,DOCUMENTARY (Feature),The Act of Killing,Joshua Oppenheimer and Signe Byrge Sørensen
2013,DOCUMENTARY (Feature),Cutie and the Boxer,Zachary Heinzerling and Lydia Dean Pilcher
2013,DOCUMENTARY (Feature),The Square,Jehane Noujaim and Karim Amer
2013,DOCUMENTARY (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers"
2013,DOCUMENTARY (Short Subject),Karama Has No Walls,Sara Ishaq
2013,MUSIC (Original Song),"""Let It Go"" from Frozen",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
2013,MUSIC (Original Song),"""The Moon Song"" from Her",Music by Karen O; Lyric by Karen O and Spike Jonze
2013,BEST PICTURE,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers"
2013,BEST PICTURE,Dallas Buyers Club,"Robbie Brenner and Rachel Winter, Producers"
2013,BEST PICTURE,Her,"Megan Ellison, Spike Jonze and Vincent Landay, Producers"
2013,BEST PICTURE,Philomena,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers"
2013,BEST PICTURE,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
2013,BEST PICTURE,The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers"
2013,SHORT FILM (Animated),Get a Horse!,Lauren MacMullan and Dorothy McKim
2013,SHORT FILM (Live Action),Pitääkö Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),Selma Vilhunen and Kirsikka Saari
2013,WRITING (Adapted Screenplay),Before Midnight,"Written by Richard Linklater, Julie Delpy, Ethan Hawke"
2013,WRITING (Original Screenplay),Dallas Buyers Club,Written by Craig Borten & Melisa Wallack
2014,ANIMATED FEATURE FILM,How to Train Your Dragon 2,Dean DeBlois and Bonnie Arnold
2014,DOCUMENTARY (Feature),CitizenFour,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky"
2014,DOCUMENTARY (Feature),Last Days in Vietnam,Rory Kennedy and Keven McAlester
2014,DOCUMENTARY (Feature),Virunga,Orlando von Einsiedel and Joanna Natasegara
2014,DOCUMENTARY (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry
2014,DOCUMENTARY (Short Subject),Joanna,Aneta Kopacz
2014,MUSIC (Original Song),"""Grateful"" from Beyond the Lights",Music and Lyric by Diane Warren
2014,MUSIC (Original Song),"""Lost Stars"" from Begin Again",Music and Lyric by Gregg Alexander and Danielle Brisebois
2014,BEST PICTURE,Boyhood,"Richard Linklater and Cathleen Sutherland, Producers"
2014,BEST PICTURE,The Imitation Game,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
2014,BEST PICTURE,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
2014,BEST PICTURE,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
2014,BEST PICTURE,Whiplash,"Jason Blum, Helen Estabrook and David Lancaster, Producers"
2014,SHORT FILM (Animated),The Bigger Picture,Daisy Jacobs and Christopher Hees
2014,SHORT FILM (Animated),Feast,Patrick Osborne and Kristina Reed
2014,SHORT FILM (Animated),Me and My Moulton,Torill Kove
2014,SHORT FILM (Live Action),Aya,Oded Binnun and Mihal Brezis
2014,SHORT FILM (Live Action),Parvaneh,Talkhon Hamzavi and Stefan Eichenberger
2015,ANIMATED FEATURE FILM,Anomalisa,"Charlie Kaufman, Duke Johnson and Rosa Tran"
2015,DOCUMENTARY (Feature),The Look of Silence,Joshua Oppenheimer and Signe Byrge Sørensen
2015,DOCUMENTARY (Feature),"What Happened, Miss Simone?","Liz Garbus, Amy Hobby and Justin Wilkes"
2015,DOCUMENTARY (Short Subject),"Chau, beyond the Lines",Courtney Marsh and Jerry Franck
2015,DOCUMENTARY (Short Subject),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy
2015,DOCUMENTARY (Short Subject),Last Day of Freedom,Dee Hibbert-Jones and Nomi Talisman
2015,MUSIC (Original Song),"""Manta Ray"" from Racing Extinction",Music by J. Ralph; Lyric by Anohni
2015,MUSIC (Original Song),"""Til It Happens To You"" from The Hunting Ground",Music and Lyric by Diane Warren and Lady Gaga
2015,BEST PICTURE,The Big Short,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
2015,BEST PICTURE,Bridge of Spies,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
2015,BEST PICTURE,Brooklyn,"Finola Dwyer and Amanda Posey, Producers"
2015,BEST PICTURE,The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
2015,BEST PICTURE,Spotlight,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
2015,SHORT FILM (Animated),Prologue,Richard Williams and Imogen Sutton
2015,SHORT FILM (Animated),Sanjay's Super Team,Sanjay Patel and Nicole Grindle
2015,SHORT FILM (Live Action),Stutterer,Benjamin Cleary and Serena Armitage
2015,WRITING (Adapted Screenplay),Carol,Screenplay by Phyllis Nagy
2015,WRITING (Adapted Screenplay),Room,Screenplay by Emma Donoghue
2015,WRITING (Original Screenplay),Inside Out,"Screenplay by Pete Docter, Meg LeFauve, Josh Cooley; Original story by Pete Docter, Ronnie del Carmen"
2015,WRITING (Original Screenplay),Straight Outta Compton,Screenplay by Jonathan Herman and Andrea Berloff; Story by S. Leigh Savidge & Alan Wenkus and Andrea Berloff
2016,ANIMATED FEATURE FILM,Kubo and the Two Strings,Travis Knight and Arianne Sutner
2016,ANIMATED FEATURE FILM,Moana,"John Musker, Ron Clements and Osnat Shurer"
2016,DOCUMENTARY (Feature),Fire at Sea,Gianfranco Rosi and Donatella Palermo
2016,DOCUMENTARY (Feature),"Life, Animated",Roger Ross Williams and Julie Goldman
2016,DOCUMENTARY (Feature),O.J.: Made in America,Ezra Edelman and Caroline Waterlow
2016,DOCUMENTARY (Feature),13th,"Ava DuVernay, Spencer Averick and Howard Barish"
2016,DOCUMENTARY (Short Subject),4.1 Miles,Daphne Matziaraki
2016,DOCUMENTARY (Short Subject),Joe's Violin,Kahane Cooperman and Raphaela Neihausen
2016,DOCUMENTARY (Short Subject),The White Helmets,Orlando von Einsiedel and Joanna Natasegara
2016,MUSIC (Original Score),Jackie,Mica Levi
2016,BEST PICTURE,Hell or High Water,"Carla Hacken and Julie Yorn, Producers"
2016,BEST PICTURE,Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers"
2016,BEST PICTURE,Lion,"Emile Sherman, Iain Canning and Angie Fielder, Producers"
2016,BEST PICTURE,Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers"
2016,BEST PICTURE,Moonlight,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers"
2016,SHORT FILM (Animated),Pear Cider and Cigarettes,Robert Valley and Cara Speller
2016,SHORT FILM (Live Action),Sing,Kristof Deák and Anna Udvardy
2016,WRITING (Adapted Screenplay),Hidden Figures,Screenplay by Allison Schroeder and Theodore Melfi
2017,ANIMATED FEATURE FILM,The Boss Baby,Tom McGrath and Ramsey Naito
2017,ANIMATED FEATURE FILM,The Breadwinner,Nora Twomey and Anthony Leo
2017,ANIMATED FEATURE FILM,Coco,Lee Unkrich and Darla K. Anderson
2017,ANIMATED FEATURE FILM,Ferdinand,Carlos Saldanha and Lori Forte
2017,ANIMATED FEATURE FILM,Loving Vincent,"Dorota Kobiela, Hugh Welchman and Ivan Mactaggart"
2017,DIRECTING,Lady Bird,Greta Gerwig
2017,DOCUMENTARY (Feature),Abacus: Small Enough to Jail,"Steve James, Mark Mitten and Julie Goldman"
2017,DOCUMENTARY (Feature),Faces Places,"Agnès Varda, JR and Rosalie Varda"
2017,DOCUMENTARY (Feature),Strong Island,Yance Ford and Joslyn Barnes
2017,DOCUMENTARY (Short Subject),Edith+Eddie,Laura Checkoway and Thomas Lee Wright
2017,DOCUMENTARY (Short Subject),Heroin(e),Elaine McMillion Sheldon and Kerrin Sheldon
2017,DOCUMENTARY (Short Subject),Traffic Stop,Kate Davis and David Heilbroner
2017,MUSIC (Original Song),"""Mighty River"" from Mudbound","Music and Lyric by Mary J. Blige, Raphael Saadiq and Taura Stinson"
2017,MUSIC (Original Song),"""Remember Me"" from Coco",Music and Lyric by Kristen Anderson-Lopez and Robert Lopez
2017,MUSIC (Original Song),"""Stand Up For Something"" from Marshall",Music by Diane Warren; Lyric by Lonnie R. Lynn and Diane Warren
2017,BEST PICTURE,Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers"
2017,BEST PICTURE,Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers"
2017,BEST PICTURE,Dunkirk,"Emma Thomas and Christopher Nolan, Producers"
