year,category,name_of_work,staff_members
1973,DOCUMENTARY (Short Subject),Turkish Delight,The Netherlands
1973,MUSIC (Original Dramatic Score),Cinderella Liberty,John Williams
1973,MUSIC (Original Dramatic Score),The Day of the Dolphin,Georges Delerue
1973,MUSIC (Original Dramatic Score),Papillon,Jerry Goldsmith
1973,MUSIC (Original Dramatic Score),A Touch of Class,John Cameron
1973,MUSIC (Original Dramatic Score),The Way We Were,Marvin Hamlisch
1973,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Jesus Christ Superstar,"Adaptation Score by Andre Previn, Herbert Spencer and Andrew Lloyd Webber"
1973,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Sting,Adaptation Score by Marvin Hamlisch
1973,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Tom Sawyer,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by John Williams
1973,MUSIC (Song),"""All That Love Went To Waste"" from A Touch of Class",Music by George Barrie; Lyrics by Sammy Cahn
1973,MUSIC (Song),"""Live And Let Die"" from Live and Let Die",Music and Lyrics by Paul McCartney and Linda McCartney
1973,MUSIC (Song),"""Love"" from Robin Hood",Music by George Bruns; Lyrics by Floyd Huddleston
1973,MUSIC (Song),"""Nice To Be Around"" from Cinderella Liberty",Music by John Williams; Lyrics by Paul Williams
1973,MUSIC (Song),"""The Way We Were"" from The Way We Were",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1973,BEST PICTURE,American Graffiti,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer"
1973,BEST PICTURE,Cries and Whispers,"Ingmar Bergman, Producer"
1973,BEST PICTURE,The Exorcist,"William Peter Blatty, Producer"
1973,BEST PICTURE,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
1973,BEST PICTURE,A Touch of Class,"Melvin Frank, Producer"
1973,SHORT SUBJECT (Animated),Frank Film,"Frank Mouris, Producer"
1973,SHORT SUBJECT (Animated),The Legend of John Henry,"Nick Bosustow and David Adams, Producers"
1973,SHORT SUBJECT (Animated),Pulcinella,"Emanuele Luzzati and Giulio Gianini, Producers"
1973,SHORT SUBJECT (Live Action),The Bolero,"Allan Miller and William Fertik, Producers"
1973,SHORT SUBJECT (Live Action),Clockmaker,"Richard Gayer, Producer"
1973,SHORT SUBJECT (Live Action),Life Times Nine,"Pen Densham and John Watson, Producers"
1973,WRITING (Screenplay--based on material from another medium),The Exorcist,William Peter Blatty
1973,WRITING (Screenplay--based on material from another medium),The Last Detail,Robert Towne
1973,WRITING (Screenplay--based on material from another medium),The Paper Chase,James Bridges
1973,WRITING (Screenplay--based on material from another medium),Paper Moon,Alvin Sargent
1973,WRITING (Screenplay--based on material from another medium),Serpico,"Waldo Salt, Norman Wexler"
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),American Graffiti,"George Lucas, Gloria Katz, Willard Huyck"
